timestamp,phase,ultrasonic_cm
2880.614,A_ultrasonic_alone,19.6
2880.744,A_ultrasonic_alone,19.5
2880.808,A_ultrasonic_alone,19.6
2880.937,A_ultrasonic_alone,19.6
2881.002,A_ultrasonic_alone,19.6
2881.131,A_ultrasonic_alone,19.6
2881.260,A_ultrasonic_alone,19.6
2881.325,A_ultrasonic_alone,19.6
2881.454,A_ultrasonic_alone,19.6
2881.519,A_ultrasonic_alone,19.6
2881.648,A_ultrasonic_alone,19.6
2881.712,A_ultrasonic_alone,19.5
2881.841,A_ultrasonic_alone,19.6
2881.906,A_ultrasonic_alone,19.6
2882.035,A_ultrasonic_alone,19.6
2882.165,A_ultrasonic_alone,19.6
2882.229,A_ultrasonic_alone,19.6
2882.358,A_ultrasonic_alone,19.6
2888.301,B_ultrasonic_plus_vl53l1x,19.6
2888.366,B_ultrasonic_plus_vl53l1x,19.6
2888.495,B_ultrasonic_plus_vl53l1x,19.6
2888.560,B_ultrasonic_plus_vl53l1x,19.6
2888.689,B_ultrasonic_plus_vl53l1x,19.6
2888.753,B_ultrasonic_plus_vl53l1x,19.6
2888.882,B_ultrasonic_plus_vl53l1x,19.6
2889.012,B_ultrasonic_plus_vl53l1x,19.6
2889.076,B_ultrasonic_plus_vl53l1x,19.6
2889.206,B_ultrasonic_plus_vl53l1x,19.6
2889.270,B_ultrasonic_plus_vl53l1x,19.6
2889.399,B_ultrasonic_plus_vl53l1x,19.6
2889.464,B_ultrasonic_plus_vl53l1x,19.6
2889.593,B_ultrasonic_plus_vl53l1x,19.6
2889.657,B_ultrasonic_plus_vl53l1x,19.6
2889.787,B_ultrasonic_plus_vl53l1x,19.6
2889.916,B_ultrasonic_plus_vl53l1x,19.6
2889.981,B_ultrasonic_plus_vl53l1x,19.5
2890.110,B_ultrasonic_plus_vl53l1x,19.6
2890.174,B_ultrasonic_plus_vl53l1x,19.6
2890.304,B_ultrasonic_plus_vl53l1x,19.6
2890.368,B_ultrasonic_plus_vl53l1x,19.6
2890.497,B_ultrasonic_plus_vl53l1x,19.6
2890.562,B_ultrasonic_plus_vl53l1x,19.6
2890.691,B_ultrasonic_plus_vl53l1x,19.6
2890.756,B_ultrasonic_plus_vl53l1x,19.6
2890.885,B_ultrasonic_plus_vl53l1x,19.6
2891.014,B_ultrasonic_plus_vl53l1x,19.6
2891.079,B_ultrasonic_plus_vl53l1x,19.5
2891.208,B_ultrasonic_plus_vl53l1x,19.7
2891.273,B_ultrasonic_plus_vl53l1x,19.6
2891.402,B_ultrasonic_plus_vl53l1x,19.6
2891.466,B_ultrasonic_plus_vl53l1x,19.5
2891.595,B_ultrasonic_plus_vl53l1x,19.6
2891.660,B_ultrasonic_plus_vl53l1x,19.5
2891.789,B_ultrasonic_plus_vl53l1x,19.6
2891.918,B_ultrasonic_plus_vl53l1x,19.6
2891.983,B_ultrasonic_plus_vl53l1x,19.5
2892.112,B_ultrasonic_plus_vl53l1x,19.6
2892.177,B_ultrasonic_plus_vl53l1x,19.6
2892.306,B_ultrasonic_plus_vl53l1x,19.6
2892.370,B_ultrasonic_plus_vl53l1x,19.6
2892.499,B_ultrasonic_plus_vl53l1x,19.5
2892.564,B_ultrasonic_plus_vl53l1x,19.6
2892.694,B_ultrasonic_plus_vl53l1x,19.6
2892.759,B_ultrasonic_plus_vl53l1x,19.6
2892.888,B_ultrasonic_plus_vl53l1x,19.6
2893.018,B_ultrasonic_plus_vl53l1x,19.6
2893.082,B_ultrasonic_plus_vl53l1x,19.6
2893.211,B_ultrasonic_plus_vl53l1x,19.6
2893.276,B_ultrasonic_plus_vl53l1x,19.6
2893.405,B_ultrasonic_plus_vl53l1x,19.6
2893.470,B_ultrasonic_plus_vl53l1x,19.6
2893.599,B_ultrasonic_plus_vl53l1x,19.6
2893.663,B_ultrasonic_plus_vl53l1x,19.6
2893.792,B_ultrasonic_plus_vl53l1x,19.6
2893.922,B_ultrasonic_plus_vl53l1x,19.6
2893.986,B_ultrasonic_plus_vl53l1x,19.6
2894.116,B_ultrasonic_plus_vl53l1x,19.6
2894.180,B_ultrasonic_plus_vl53l1x,19.6
2894.309,B_ultrasonic_plus_vl53l1x,19.6
2894.374,B_ultrasonic_plus_vl53l1x,19.6
2894.503,B_ultrasonic_plus_vl53l1x,19.6
2894.567,B_ultrasonic_plus_vl53l1x,19.6
2894.697,B_ultrasonic_plus_vl53l1x,19.6
2894.826,B_ultrasonic_plus_vl53l1x,19.6
2894.891,B_ultrasonic_plus_vl53l1x,19.6
2895.020,B_ultrasonic_plus_vl53l1x,19.6
2895.084,B_ultrasonic_plus_vl53l1x,19.6
2895.214,B_ultrasonic_plus_vl53l1x,19.6
2895.278,B_ultrasonic_plus_vl53l1x,19.6
2895.408,B_ultrasonic_plus_vl53l1x,19.6
2895.472,B_ultrasonic_plus_vl53l1x,19.6
2895.601,B_ultrasonic_plus_vl53l1x,19.6
2895.666,B_ultrasonic_plus_vl53l1x,19.6
2895.795,B_ultrasonic_plus_vl53l1x,19.6
2895.924,B_ultrasonic_plus_vl53l1x,19.6
2895.989,B_ultrasonic_plus_vl53l1x,19.6
2896.118,B_ultrasonic_plus_vl53l1x,19.5
2896.183,B_ultrasonic_plus_vl53l1x,19.6
2896.312,B_ultrasonic_plus_vl53l1x,19.6
2896.376,B_ultrasonic_plus_vl53l1x,19.6
2896.506,B_ultrasonic_plus_vl53l1x,19.6
2896.570,B_ultrasonic_plus_vl53l1x,19.6
2896.700,B_ultrasonic_plus_vl53l1x,19.5
2896.829,B_ultrasonic_plus_vl53l1x,19.6
2896.893,B_ultrasonic_plus_vl53l1x,19.6
2897.023,B_ultrasonic_plus_vl53l1x,19.6
2897.087,B_ultrasonic_plus_vl53l1x,19.6
2897.216,B_ultrasonic_plus_vl53l1x,19.6
2897.281,B_ultrasonic_plus_vl53l1x,19.6
2897.410,B_ultrasonic_plus_vl53l1x,19.6
2897.475,B_ultrasonic_plus_vl53l1x,19.6
2897.604,B_ultrasonic_plus_vl53l1x,19.7
2897.668,B_ultrasonic_plus_vl53l1x,19.6
2897.798,B_ultrasonic_plus_vl53l1x,19.6
2897.927,B_ultrasonic_plus_vl53l1x,19.6
2897.992,B_ultrasonic_plus_vl53l1x,19.6
2898.121,B_ultrasonic_plus_vl53l1x,19.6
2898.185,B_ultrasonic_plus_vl53l1x,19.6
2898.314,B_ultrasonic_plus_vl53l1x,19.6
2898.379,B_ultrasonic_plus_vl53l1x,19.6
2898.508,B_ultrasonic_plus_vl53l1x,19.6
2898.573,B_ultrasonic_plus_vl53l1x,19.6
2898.702,B_ultrasonic_plus_vl53l1x,19.6
2898.831,B_ultrasonic_plus_vl53l1x,19.6
2898.896,B_ultrasonic_plus_vl53l1x,19.6
2899.025,B_ultrasonic_plus_vl53l1x,19.6
2899.090,B_ultrasonic_plus_vl53l1x,19.6
2899.219,B_ultrasonic_plus_vl53l1x,19.6
2899.283,B_ultrasonic_plus_vl53l1x,19.6
2899.413,B_ultrasonic_plus_vl53l1x,19.6
2899.477,B_ultrasonic_plus_vl53l1x,19.6
2899.607,B_ultrasonic_plus_vl53l1x,19.6
2899.736,B_ultrasonic_plus_vl53l1x,19.6
2899.800,B_ultrasonic_plus_vl53l1x,19.6
2899.930,B_ultrasonic_plus_vl53l1x,19.6
2899.994,B_ultrasonic_plus_vl53l1x,19.6
2900.123,B_ultrasonic_plus_vl53l1x,19.6
2900.188,B_ultrasonic_plus_vl53l1x,19.6
2900.317,B_ultrasonic_plus_vl53l1x,19.6
2900.382,B_ultrasonic_plus_vl53l1x,19.6
2900.511,B_ultrasonic_plus_vl53l1x,19.6
2900.575,B_ultrasonic_plus_vl53l1x,19.6
2900.705,B_ultrasonic_plus_vl53l1x,19.6
2900.834,B_ultrasonic_plus_vl53l1x,19.6
2900.899,B_ultrasonic_plus_vl53l1x,19.6
2901.028,B_ultrasonic_plus_vl53l1x,19.5
2901.093,B_ultrasonic_plus_vl53l1x,19.6
2901.222,B_ultrasonic_plus_vl53l1x,19.6
2901.286,B_ultrasonic_plus_vl53l1x,19.6
2901.415,B_ultrasonic_plus_vl53l1x,19.6
2901.480,B_ultrasonic_plus_vl53l1x,19.6
2901.609,B_ultrasonic_plus_vl53l1x,19.6
2901.738,B_ultrasonic_plus_vl53l1x,19.6
2901.803,B_ultrasonic_plus_vl53l1x,19.6
2901.932,B_ultrasonic_plus_vl53l1x,19.6
2901.997,B_ultrasonic_plus_vl53l1x,19.6
2902.126,B_ultrasonic_plus_vl53l1x,19.6
2902.190,B_ultrasonic_plus_vl53l1x,19.6
2902.320,B_ultrasonic_plus_vl53l1x,19.6
2902.384,B_ultrasonic_plus_vl53l1x,19.6
2902.513,B_ultrasonic_plus_vl53l1x,19.6
2902.643,B_ultrasonic_plus_vl53l1x,19.6
2902.708,B_ultrasonic_plus_vl53l1x,19.6
2902.837,B_ultrasonic_plus_vl53l1x,19.6
2902.901,B_ultrasonic_plus_vl53l1x,19.6
2903.031,B_ultrasonic_plus_vl53l1x,19.5
2903.095,B_ultrasonic_plus_vl53l1x,19.6
2903.224,B_ultrasonic_plus_vl53l1x,19.6
