timestamp,segment,distance_desc,distance_cm
1787717672.006,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717672.206,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717672.407,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717672.607,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.6
1787717672.808,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.6
1787717673.008,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717673.208,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717673.409,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717673.609,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.6
1787717673.810,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.6
1787717674.010,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.3
1787717674.211,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717674.411,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.6
1787717674.612,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717674.812,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717675.012,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.3
1787717675.213,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717675.413,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.9
1787717675.613,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.9
1787717675.814,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.9
1787717676.014,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.3
1787717676.215,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717676.415,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717676.615,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717676.816,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717677.016,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717677.217,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.3
1787717677.417,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.2
1787717677.617,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.7
1787717677.818,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.6
1787717678.018,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.6
1787717690.849,low_profile_40cm,low object below main beam axis at ~40cm,34.5
1787717691.050,low_profile_40cm,low object below main beam axis at ~40cm,34.3
1787717691.250,low_profile_40cm,low object below main beam axis at ~40cm,33.4
1787717691.451,low_profile_40cm,low object below main beam axis at ~40cm,32.4
1787717691.651,low_profile_40cm,low object below main beam axis at ~40cm,31.9
1787717691.852,low_profile_40cm,low object below main beam axis at ~40cm,31.9
1787717692.052,low_profile_40cm,low object below main beam axis at ~40cm,31.6
1787717692.253,low_profile_40cm,low object below main beam axis at ~40cm,31.6
1787717692.453,low_profile_40cm,low object below main beam axis at ~40cm,31.6
1787717692.653,low_profile_40cm,low object below main beam axis at ~40cm,35.8
1787717692.854,low_profile_40cm,low object below main beam axis at ~40cm,36.9
1787717693.054,low_profile_40cm,low object below main beam axis at ~40cm,38.8
1787717693.255,low_profile_40cm,low object below main beam axis at ~40cm,43.3
1787717693.455,low_profile_40cm,low object below main beam axis at ~40cm,43.7
1787717693.655,low_profile_40cm,low object below main beam axis at ~40cm,43.7
1787717693.856,low_profile_40cm,low object below main beam axis at ~40cm,42.3
1787717694.056,low_profile_40cm,low object below main beam axis at ~40cm,41.8
1787717694.257,low_profile_40cm,low object below main beam axis at ~40cm,40.7
1787717694.457,low_profile_40cm,low object below main beam axis at ~40cm,40.2
1787717694.658,low_profile_40cm,low object below main beam axis at ~40cm,39.7
1787717694.858,low_profile_40cm,low object below main beam axis at ~40cm,39.7
1787717695.058,low_profile_40cm,low object below main beam axis at ~40cm,39.5
1787717695.259,low_profile_40cm,low object below main beam axis at ~40cm,39.0
1787717695.459,low_profile_40cm,low object below main beam axis at ~40cm,38.1
1787717695.660,low_profile_40cm,low object below main beam axis at ~40cm,36.7
1787717695.860,low_profile_40cm,low object below main beam axis at ~40cm,36.7
1787717696.061,low_profile_40cm,low object below main beam axis at ~40cm,36.7
1787717696.261,low_profile_40cm,low object below main beam axis at ~40cm,36.7
1787717696.462,low_profile_40cm,low object below main beam axis at ~40cm,36.4
1787717696.662,low_profile_40cm,low object below main beam axis at ~40cm,35.9
1787717696.862,low_profile_40cm,low object below main beam axis at ~40cm,35.9
1787717697.063,low_profile_40cm,low object below main beam axis at ~40cm,36.4
1787717697.263,low_profile_40cm,low object below main beam axis at ~40cm,36.9
1787717697.464,low_profile_40cm,low object below main beam axis at ~40cm,37.6
1787717697.664,low_profile_40cm,low object below main beam axis at ~40cm,37.9
1787717697.865,low_profile_40cm,low object below main beam axis at ~40cm,37.9
1787717698.065,low_profile_40cm,low object below main beam axis at ~40cm,37.8
1787717698.265,low_profile_40cm,low object below main beam axis at ~40cm,37.1
1787717698.466,low_profile_40cm,low object below main beam axis at ~40cm,37.3
1787717698.666,low_profile_40cm,low object below main beam axis at ~40cm,37.3
1787717698.866,low_profile_40cm,low object below main beam axis at ~40cm,37.1
1787717699.067,low_profile_40cm,low object below main beam axis at ~40cm,36.9
1787717699.267,low_profile_40cm,low object below main beam axis at ~40cm,36.7
1787717699.468,low_profile_40cm,low object below main beam axis at ~40cm,36.7
1787717699.668,low_profile_40cm,low object below main beam axis at ~40cm,36.7
1787717699.868,low_profile_40cm,low object below main beam axis at ~40cm,36.9
1787717700.069,low_profile_40cm,low object below main beam axis at ~40cm,36.9
1787717700.269,low_profile_40cm,low object below main beam axis at ~40cm,36.8
1787717700.470,low_profile_40cm,low object below main beam axis at ~40cm,36.8
1787717700.670,low_profile_40cm,low object below main beam axis at ~40cm,36.8
