timestamp,segment,distance_desc,distance_cm
1787717548.798,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717548.998,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.9
1787717549.198,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.0
1787717549.399,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717549.599,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),17.3
1787717549.800,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.7
1787717550.000,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.6
1787717550.200,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.6
1787717550.401,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.6
1787717550.601,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.0
1787717550.802,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),15.6
1787717551.002,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),13.2
1787717551.202,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),10.9
1787717551.403,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.5
1787717551.603,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.1
1787717551.804,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),8.8
1787717552.004,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.1
1787717552.204,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.2
1787717552.405,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.5
1787717552.605,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),9.8
1787717552.806,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),10.9
1787717553.006,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),11.6
1787717553.207,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),12.2
1787717553.407,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),12.2
1787717553.607,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),12.3
1787717553.808,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),12.6
1787717554.008,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),12.6
1787717554.209,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),12.6
1787717554.409,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),12.2
1787717554.609,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),13.3
1787717554.810,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),13.6
1787717555.010,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),14.3
1787717555.211,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),14.6
1787717555.411,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),14.6
1787717555.612,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),15.3
1787717555.812,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),15.6
1787717556.013,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),15.4
1787717556.213,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.0
1787717556.414,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.3
