timestamp,distance_mm,status
1787710764.550,136,Range Valid
1787710764.763,139,Range Valid
1787710764.977,133,Range Valid
1787710765.191,144,Range Valid
1787710765.405,149,Range Valid
1787710765.618,155,Range Valid
1787710765.830,156,Range Valid
1787710766.042,168,Range Valid
1787710766.255,172,Range Valid
1787710766.468,184,Range Valid
1787710766.679,191,Range Valid
1787710766.893,196,Range Valid
1787710767.107,200,Range Valid
1787710767.319,205,Range Valid
1787710767.530,210,Range Valid
1787710767.741,219,Range Valid
1787710767.955,227,Range Valid
1787710768.168,240,Range Valid
1787710768.382,245,Range Valid
1787710768.593,248,Range Valid
1787710768.805,259,Range Valid
1787710769.019,263,Range Valid
1787710769.232,272,Range Valid
1787710769.447,273,Range Valid
1787710769.660,283,Range Valid
1787710769.869,285,Range Valid
1787710770.082,294,Range Valid
1787710770.295,299,Range Valid
1787710770.509,305,Range Valid
1787710770.722,310,Range Valid
1787710770.934,316,Range Valid
1787710771.148,318,Range Valid
1787710771.360,325,Range Valid
1787710771.571,327,Range Valid
1787710771.785,329,Range Valid
1787710771.997,341,Range Valid
1787710772.211,344,Range Valid
1787710772.424,353,Range Valid
1787710772.638,357,Range Valid
1787710772.852,360,Range Valid
1787710773.064,362,Range Valid
1787710773.278,371,Range Valid
1787710773.492,377,Range Valid
1787710773.703,389,Range Valid
1787710773.917,396,Range Valid
1787710774.131,407,Range Valid
1787710774.344,413,Range Valid
1787710774.555,419,Range Valid
1787710774.766,427,Range Valid
1787710774.980,437,Range Valid
1787710775.193,444,Range Valid
1787710775.407,447,Range Valid
1787710775.621,457,Range Valid
1787710775.834,461,Range Valid
1787710776.047,465,Range Valid
1787710776.260,469,Range Valid
1787710776.474,475,Range Valid
1787710776.688,480,Range Valid
1787710776.901,485,Range Valid
1787710777.115,485,Range Valid
1787710777.329,490,Range Valid
1787710777.540,492,Range Valid
1787710777.751,493,Range Valid
1787710777.964,496,Range Valid
1787710778.178,497,Range Valid
1787710778.392,499,Range Valid
1787710778.605,500,Range Valid
1787710778.817,500,Range Valid
1787710779.031,504,Range Valid
1787710779.245,506,Range Valid
1787710779.459,505,Range Valid
1787710779.670,510,Range Valid
1787710779.884,510,Range Valid
1787710780.093,513,Range Valid
1787710780.306,515,Range Valid
1787710780.517,518,Range Valid
1787710780.728,518,Range Valid
1787710780.942,523,Range Valid
1787710781.156,529,Range Valid
1787710781.369,529,Range Valid
1787710781.580,532,Range Valid
1787710781.790,535,Range Valid
1787710782.001,537,Range Valid
1787710782.215,547,Range Valid
1787710782.428,553,Range Valid
1787710782.641,556,Range Valid
1787710782.855,559,Range Valid
1787710783.067,561,Range Valid
1787710783.280,571,Range Valid
1787710783.492,578,Range Valid
1787710783.703,580,Range Valid
1787710783.916,585,Range Valid
1787710784.130,586,Range Valid
1787710784.343,589,Range Valid
1787710784.555,582,Range Valid
1787710784.766,579,Range Valid
1787710784.978,574,Range Valid
1787710785.192,572,Range Valid
